permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,last_permit_activity_date,application_submission_method,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,zipcode,location,point_source,record_id,data_as_of,data_loaded_at,filed_date,issued_date,completed_date,revised_cost,unit,fire_only_permit,unit_suffix,structural_notification,site_permit,street_number_suffix,first_construction_document_date
202404119828,8,otc alterations permit,2024-04-11T00:00:00.000,3538,005,18,Sanchez,St,"ti for 6 units. relocate kitchen and convert to living room, reconfigure bathrooms, combine e living rm and bedroom in all 6 units, no structural work on this permit.",issued,2024-04-29T15:54:16.000,3,3,320000.0,apartments,6.0,apartments,6.0,2,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-04-29T15:49:27.000,in-house,N,Y,8,Castro/Upper Market,94114,"{'type': 'Point', 'coordinates': [-122.431717071, 37.768873275]}",eas_address_point,1692703246746,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T15:29:34.000,2024-04-29T15:54:16.000,,320000.0,,,,,,,
202404119788,8,otc alterations permit,2024-04-11T00:00:00.000,0561,018,2660,Scott,St,adding a (n) exterior cornice to the top level of house. new exterior trim added to 4 windows on the top floor,complete,2024-10-01T09:50:18.000,4,4,13000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T13:39:54.000,in-house,N,Y,2,Pacific Heights,94123,"{'type': 'Point', 'coordinates': [-122.439703107, 37.794473474]}",eas_address_point,169266174414,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T12:07:12.000,2024-04-11T13:42:58.000,2024-10-01T09:50:18.000,26000.0,,,,,,,
202404119800,8,otc alterations permit,2024-04-11T00:00:00.000,3602,054,4156,20th,St,replace back and side on the rear windows. replace the siding on the back and rear sides. approx 1200 sq. ft. 16 windows.,issued,2024-04-11T15:20:31.000,2,2,20000.0,apartments,4.0,apartments,4.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-04-11T15:04:51.000,in-house,N,Y,8,Castro/Upper Market,94114,"{'type': 'Point', 'coordinates': [-122.433843164, 37.757940155]}",eas_address_point,1692674161249,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T13:20:23.000,2024-04-11T15:20:31.000,,20000.0,,,,,,,
202404119823,8,otc alterations permit,2024-04-11T00:00:00.000,1613,007G,3040,Cabrillo,St,replace 30 windows and 6 french doors with double pane units of like appearance. windows uf<0.3,issued,2024-04-11T15:50:36.000,3,3,80000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T15:46:49.000,in-house,N,Y,1,Outer Richmond,94121,"{'type': 'Point', 'coordinates': [-122.491549251, 37.774250932]}",eas_address_point,1692698106816,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T15:09:59.000,2024-04-11T15:50:36.000,,80000.0,,,,,,,
202404119756,4,sign - erect,2024-04-11T00:00:00.000,3706,096,1,Yerba Buena,Ln,"install non electric single faced wall sign ""one yerba buena""",complete,2024-06-18T09:46:40.000,34,,1000.0,food/beverage hndlng,,,,2,"R-1,B",,1,constr type 1,,,2024-04-11T10:33:44.000,in-house,N,Y,6,Financial District/South Beach,94103,"{'type': 'Point', 'coordinates': [-122.404391042, 37.785395654]}",eas_address_point,1692626449563,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:13:02.000,2024-04-11T10:38:07.000,2024-06-18T09:46:40.000,1000.0,,,,,,,
202404119830,8,otc alterations permit,2024-04-11T00:00:00.000,3609,029,969,Valencia,St,"repair fire damage to affected areas in building. restore apartment burned in fire (kitchen, bathroom, living room) and affected apartments. due to water and fire smoke damage, cosmetic work to be done such as painting, cleaning at lightwell on 2/f & 3/f.",issued,2024-07-01T08:46:51.000,3,3,1263670.0,apartments,10.0,apartments,10.0,2,"R-2,B","R-2,B",5,wood frame (5),5,wood frame (5),2024-07-01T08:45:22.000,in-house,N,Y,9,Mission,94110,"{'type': 'Point', 'coordinates': [-122.420868811, 37.757415495]}",eas_address_point,1692880161805,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T16:03:46.000,2024-07-01T08:46:51.000,,1300000.0,,,,,,,
202404119804,8,otc alterations permit,2024-04-11T00:00:00.000,2141,008A,1250,Quintara,St,remove and replace 6 windows nailfin. same size and location. all windows street facing u=.30max,complete,2024-08-23T11:26:35.000,2,2,36300.0,church,,church,,0,A-3,A-3,5,wood frame (5),5,wood frame (5),2024-04-11T14:29:24.000,in-house,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.479099393, 37.748759856]}",eas_address_point,1692679127417,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T13:28:36.000,2024-04-11T14:31:27.000,2024-08-23T11:26:35.000,36300.0,,,,,,,
202404119784,8,otc alterations permit,2024-04-11T00:00:00.000,0985,011,3450,Washington,St,"new air conditioning. remove 3 e) 1:1 split heat pump systems at roof & replace w/ a full variable refrigerant flow system w/ heat recovery. exhuast & ventilation system are e) to remain, unless otherwise noted. hydronic radiant system is e) remain",issued,2024-04-25T13:10:53.000,4,4,125000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-25T13:05:21.000,in-house,N,Y,2,Presidio Heights,94118,"{'type': 'Point', 'coordinates': [-122.450248353, 37.789842502]}",eas_address_point,169265786096,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T11:33:13.000,2024-04-25T13:10:53.000,,125000.0,,,,,,,
202404119817,8,otc alterations permit,2024-04-11T00:00:00.000,3635,036,1198,Valencia,St,to obtain final inspection for work approved under pa# 201606270996. all work is complete.,complete,2024-04-15T11:01:17.000,,5,1.0,vacant lot,,apartments,49.0,0,"R-2,S-2,B","R-2,S-2,B",5,wood frame (5),5,wood frame (5),2024-04-11T14:35:26.000,in-house,N,Y,9,Mission,94110,"{'type': 'Point', 'coordinates': [-122.420989054, 37.753827328]}",eas_address_point,1692692520764,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T14:31:46.000,2024-04-11T14:42:00.000,2024-04-15T11:01:17.000,1.0,,,,,,,
202404119779,8,otc alterations permit,2024-04-11T00:00:00.000,1616,006,739,28th,Av,"replace 2 front windows with wood casement, replace 10 windowos all vinyl not street visible and 3 fiberglass entry doors , not street facing. all retrofit , same size and location. u factor=.30, shgc= .23",complete,2024-08-22T13:38:43.000,2,2,38996.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T11:57:39.000,in-house,N,Y,1,Outer Richmond,94121,"{'type': 'Point', 'coordinates': [-122.487939153, 37.775355252]}",eas_address_point,1692652106935,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T11:06:50.000,2024-04-11T12:02:34.000,2024-08-22T13:38:43.000,38996.0,,,,,,,
202404119795,8,otc alterations permit,2024-04-11T00:00:00.000,6506,026,837,Diamond,St,for administrative purpose to verify single building as 2- dwelling units. per city records assessor's water dept and building site visit. no work under this permit.,complete,2024-04-15T11:48:07.000,3,3,1.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T12:51:09.000,in-house,N,,8,Noe Valley,94114,"{'type': 'Point', 'coordinates': [-122.435971286, 37.750683829]}",eas_address_point,1692669521064,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T12:48:24.000,2024-04-11T12:53:37.000,2024-04-15T11:48:07.000,1.0,,,,,,,
202404119812,8,otc alterations permit,2024-04-11T00:00:00.000,6193,004C,1266,Brussels,St,"2nd fl: remodel kitchen, demo existing sheet rock & replace with new. add new cove molding at ceiling perimeter. replace existing flooring with new engineered hardwood",complete,2024-10-31T11:11:46.000,2,2,50000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-05-16T15:04:09.000,in-house,N,Y,10,Visitacion Valley,94134,"{'type': 'Point', 'coordinates': [-122.401527765, 37.716547312]}",eas_address_point,1692687197950,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T14:10:56.000,2024-05-16T15:27:04.000,2024-10-31T11:11:46.000,50000.0,,,,,,,
202404119762,8,otc alterations permit,2024-04-11T00:00:00.000,3718,026,201,Mission,St,ref 202402286715- 18th floor modify sprinkler head locations to accommodate (n) ceiling and partition layout for (e) elevator lobby,issued,2024-04-11T09:57:25.000,30,30,2056.0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,2024-04-11T09:55:59.000,in-house,N,Y,6,Financial District/South Beach,94105,"{'type': 'Point', 'coordinates': [-122.394768198, 37.791033893]}",eas_address_point,1692634164647,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:49:25.000,2024-04-11T09:57:25.000,,2484.0,,Y,,,,,
202404119765,8,otc alterations permit,2024-04-11T00:00:00.000,1429,044,329,Cornwall,St,reroofing: complete removal of existing shingles and installing new composition shingles.,complete,2024-04-19T10:30:47.000,2,2,10000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T09:26:37.000,in-house,N,Y,1,Inner Richmond,94118,"{'type': 'Point', 'coordinates': [-122.462933882, 37.784635284]}",eas_address_point,169263799412,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T09:11:22.000,2024-04-11T09:31:49.000,2024-04-19T10:30:47.000,10000.0,,,,,,,
202404119770,8,otc alterations permit,2024-04-11T00:00:00.000,2861,012,170,San Marcos,Av,reroofing,complete,2024-05-22T14:16:50.000,4,4,18000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T10:56:52.000,in-house,N,Y,7,West of Twin Peaks,94116,"{'type': 'Point', 'coordinates': [-122.465236163, 37.747093123]}",eas_address_point,1692642146113,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T10:06:09.000,2024-04-11T11:07:39.000,2024-05-22T14:16:50.000,18000.0,,,,,,,
202404119757,8,otc alterations permit,2024-04-11T00:00:00.000,1649,017,776,07th,Av,reroofing,complete,2024-04-25T15:59:46.000,3,3,13000.0,apartments,3.0,apartments,3.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-04-11T08:51:55.000,in-house,N,,1,Inner Richmond,94118,"{'type': 'Point', 'coordinates': [-122.464526724, 37.77409503]}",eas_address_point,1692629418045,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:22:03.000,2024-04-11T08:54:09.000,2024-04-25T15:59:46.000,13000.0,0,,,,,,
202404119791,8,otc alterations permit,2024-04-11T00:00:00.000,0118,016,42,August,Al,to abate nov 202312969 - construction of lower floor rear of building behind the (e) garage. convert 450sf of non conditioned space to conditioned consisting of (e) mech room and a portion of the garage to a habitable space w/ 3/4 bathroom.,issued,2024-06-10T12:28:54.000,3,3,120000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-06-10T12:22:51.000,in-house,N,Y,3,Chinatown,94133,"{'type': 'Point', 'coordinates': [-122.411446766, 37.799775119]}",eas_address_point,1692664348952,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T12:28:24.000,2024-06-10T12:28:54.000,,120000.0,,,,,,,
202404119781,8,otc alterations permit,2024-04-11T00:00:00.000,3785,009,651,Brannan,St,1st floor: selective demolition and modification of extg non-load bearing partitions. construction of new operable non-rated partitions and related soffit.,issued,2024-05-06T12:29:36.000,4,4,349294.0,office,0.0,office,0.0,2,B,B,2,constr type 2,2,constr type 2,2024-05-06T12:24:41.000,in-house,N,Y,6,Mission Bay,94107,"{'type': 'Point', 'coordinates': [-122.399630757, 37.775227253]}",eas_address_point,1692653167656,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T11:09:02.000,2024-05-06T12:29:36.000,,349294.0,,,,,,,
202404119814,8,otc alterations permit,2024-04-11T00:00:00.000,1569,005,623,26th,Av,"replace 12 windows, the same size location and style, including 5 front wood windows to wood windows. uf-.30",issued,2024-04-11T15:19:56.000,2,2,17400.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T15:17:45.000,in-house,N,Y,1,Outer Richmond,94121,"{'type': 'Point', 'coordinates': [-122.485955349, 37.777629258]}",eas_address_point,1692690104867,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T14:23:33.000,2024-04-11T15:19:56.000,,17400.0,,,,,,,
202404119800,8,otc alterations permit,2024-04-11T00:00:00.000,3602,054,4158,20th,St,replace back and side on the rear windows. replace the siding on the back and rear sides. approx 1200 sq. ft. 16 windows.,issued,2024-04-11T15:20:31.000,2,2,20000.0,apartments,4.0,apartments,4.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-04-11T15:04:51.000,in-house,N,,8,Castro/Upper Market,94114,"{'type': 'Point', 'coordinates': [-122.433843164, 37.757940155]}",eas_address_point,1692675272954,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T13:20:23.000,2024-04-11T15:20:31.000,,20000.0,,,,,,,
202404119774,8,otc alterations permit,2024-04-11T00:00:00.000,2315,018,2222,35th,Av,replace leaking windows (two back of home),complete,2024-06-04T13:36:25.000,1,1,2500.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T11:20:50.000,in-house,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.492736112, 37.745554573]}",eas_address_point,1692647130761,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T10:56:15.000,2024-04-11T11:27:27.000,2024-06-04T13:36:25.000,2500.0,,,,,,,
202404119785,8,otc alterations permit,2024-04-11T00:00:00.000,1079,025,2238,Geary,Bl,"2nd floor: remodel and install new scope washers, sinks and wall mounted computers. (no change to extg fire alarm or sprinklers). 7th floor: remove and infill extg door at utility room and install new mounted computers.",issued,2024-05-01T10:11:29.000,8,8,50000.0,clinics-medic/dental,0.0,clinics-medic/dental,0.0,2,B,B,1,constr type 1,1,constr type 1,2024-05-01T09:57:56.000,in-house,N,Y,2,Japantown,94115,"{'type': 'Point', 'coordinates': [-122.440625885, 37.783511991]}",eas_address_point,1692658267329,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T11:35:32.000,2024-05-01T10:11:29.000,,85836.0,,,,,,,
202404119818,8,otc alterations permit,2024-04-11T00:00:00.000,5651,025,119,Gates,St,to obtain final inspection for work approved under pa# 202012161102. all work is complete.,complete,2024-04-17T15:56:10.000,2,2,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T14:47:00.000,in-house,N,Y,9,Bernal Heights,94110,"{'type': 'Point', 'coordinates': [-122.413679557, 37.740943373]}",eas_address_point,1692693185810,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T14:45:07.000,2024-04-11T14:50:40.000,2024-04-17T15:56:10.000,1.0,,,,,,,
202404119827,8,otc alterations permit,2024-04-11T00:00:00.000,6969,010,61,Seneca,Av,to obtain final inspection for work approved under pa#201605197886. all work is complete,complete,2024-04-16T08:49:14.000,2,2,20000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T15:35:26.000,in-house,N,Y,11,Outer Mission,94112,"{'type': 'Point', 'coordinates': [-122.441002578, 37.718068463]}",eas_address_point,1692701215673,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T15:27:28.000,2024-04-11T15:44:00.000,2024-04-16T08:49:14.000,1.0,,,,,,,
202404119778,8,otc alterations permit,2024-04-11T00:00:00.000,6360,002,110,Kelloch,Av,re-roofing,complete,2024-05-13T10:40:06.000,2,2,15400.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T11:48:46.000,in-house,N,Y,10,Visitacion Valley,94134,"{'type': 'Point', 'coordinates': [-122.413960029, 37.709063304]}",eas_address_point,1692651201974,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T11:05:41.000,2024-04-11T11:51:16.000,2024-05-13T10:40:06.000,15400.0,,,,,,,
202404119829,8,otc alterations permit,2024-04-11T00:00:00.000,0505,013,3054,Octavia,St,replace wood siding at first floor front facade and wood garage door in kind,complete,2024-10-31T14:08:34.000,3,3,20000.0,2 family dwelling,2.0,2 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-05-08T11:07:41.000,in-house,N,Y,2,Marina,94123,"{'type': 'Point', 'coordinates': [-122.429147418, 37.800545518]}",eas_address_point,169270672339,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T15:46:03.000,2024-05-08T11:09:27.000,2024-10-31T14:08:34.000,20000.0,,,,,,,
202404119803,8,otc alterations permit,2024-04-11T00:00:00.000,0660,001,2201,Pine,St,replace right side of building windows or replace siding with vinyl or fiber glass windows. hardie board 3200 sqft approx.,issued,2024-04-11T15:20:13.000,4,4,50000.0,apartments,6.0,apartments,6.0,0,"R-2,M","R-2,M",5,wood frame (5),5,wood frame (5),2024-04-11T15:07:24.000,in-house,N,Y,5,Pacific Heights,94115,"{'type': 'Point', 'coordinates': [-122.432121188, 37.787911187]}",eas_address_point,1692677403062,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T13:27:06.000,2024-04-11T15:20:13.000,,50000.0,0,,,,,,
202404119811,8,otc alterations permit,2024-04-11T00:00:00.000,0238,008,350,California,St,16/f: rev 202401113782 - application for infeasibility request to the existing ada stall in women's restroom.,complete,2024-06-26T13:34:15.000,22,22,1.0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,2024-04-30T09:40:23.000,in-house,N,Y,3,Financial District/South Beach,94104,"{'type': 'Point', 'coordinates': [-122.400807639, 37.793236243]}",eas_address_point,1692686297063,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T14:03:19.000,2024-04-30T09:42:19.000,2024-06-26T13:34:15.000,1.0,0,,,,,,
202404119766,8,otc alterations permit,2024-04-11T00:00:00.000,3631,022,961,Dolores,St,"interior remodel for four story two unit building. kitchen, bathroom and bedroom remodel for both units. replace non street facing windows. foundation replacement. replace rear patio door. repair stucco and wood siding.",issued,2024-07-29T13:25:39.000,4,4,450000.0,2 family dwelling,2.0,2 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-07-29T13:22:24.000,in-house,N,Y,8,Mission,94110,"{'type': 'Point', 'coordinates': [-122.424950881, 37.754021278]}",eas_address_point,1692638163191,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T09:23:49.000,2024-07-29T13:25:39.000,,599800.0,,,,,,,
202404119761,8,otc alterations permit,2024-04-11T00:00:00.000,7510,021,57,Turquoise,Wy,replace (13) windows and (2) sliding doors total. (8) front windows to mirgard aluminum slider over fix to match (e) rear to vinyl frame windows and doors same size and location u factor max rear 0.30 front 0.37,issued,2024-04-11T09:59:47.000,2,2,38000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T09:57:36.000,in-house,N,Y,8,Noe Valley,94131,"{'type': 'Point', 'coordinates': [-122.445515158, 37.744391257]}",eas_address_point,1692633226704,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:45:58.000,2024-04-11T09:59:47.000,,38000.0,,,,,,,
202404119753,4,sign - erect,2024-04-11T00:00:00.000,3706,096,1,Yerba Buena,Ln,"install single faced electric wall sign "" one yerba buena""",complete,2024-06-18T09:49:21.000,34,,8000.0,food/beverage hndlng,,,,2,"B,R-1",,1,constr type 1,,,2024-04-11T10:31:49.000,in-house,N,Y,6,Financial District/South Beach,94103,"{'type': 'Point', 'coordinates': [-122.404391042, 37.785395654]}",eas_address_point,1692624449563,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:02:44.000,2024-04-11T10:37:44.000,2024-06-18T09:49:21.000,8000.0,,,,,,,
202404119795,8,otc alterations permit,2024-04-11T00:00:00.000,6506,026,835,Diamond,St,for administrative purpose to verify single building as 2- dwelling units. per city records assessor's water dept and building site visit. no work under this permit.,complete,2024-04-15T11:48:07.000,3,3,1.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T12:51:09.000,in-house,N,Y,8,Noe Valley,94114,"{'type': 'Point', 'coordinates': [-122.435970741, 37.750676996]}",eas_address_point,1692668205507,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T12:48:24.000,2024-04-11T12:53:37.000,2024-04-15T11:48:07.000,1.0,,,,,,,
202404119797,8,otc alterations permit,2024-04-11T00:00:00.000,0949,018,2865,Union,St,re-roofing,issued,2024-04-11T13:59:11.000,3,3,20000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T13:49:14.000,in-house,N,Y,2,Marina,94123,"{'type': 'Point', 'coordinates': [-122.446420078, 37.795395699]}",eas_address_point,1692671407258,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T12:59:10.000,2024-04-11T13:59:11.000,,20000.0,0,,,,,,
202404119826,8,otc alterations permit,2024-04-11T00:00:00.000,5925,027,119,Girard,St,voluntary work to remove unpermitted non-structural partitions and cap off plumbing at lower floor and back of garage. interior work only,complete,2024-09-26T11:52:04.000,2,2,5000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T15:42:29.000,in-house,N,Y,9,Portola,94134,"{'type': 'Point', 'coordinates': [-122.405715169, 37.730734214]}",eas_address_point,1692702191445,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T15:26:47.000,2024-04-11T15:47:02.000,2024-09-26T11:52:04.000,5000.0,,,,,,,
202404119750,8,otc alterations permit,2024-04-11T07:40:23.000,2087,022B,4338,Pacheco,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2024-04-11T07:41:21.000,,,9000.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-04-11T07:40:23.000,website,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.506931291, 37.749368914]}",eas_address_point,1692620125306,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T07:40:23.000,2024-04-11T07:41:21.000,,9000.0,,,,,,,
202404119763,8,otc alterations permit,2024-04-11T08:54:33.000,3718,026,201,Mission,St,ref 202402145870- 18th floor office space to modify sprinkler head locations to accommodate (n) ceiling and partition layout,complete,2024-04-25T16:18:19.000,30,30,1028.0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,2024-04-11T09:50:25.000,in-house,N,Y,6,Financial District/South Beach,94105,"{'type': 'Point', 'coordinates': [-122.394768198, 37.791033893]}",eas_address_point,1692635164647,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:54:34.000,2024-04-11T09:52:28.000,2024-04-25T16:18:19.000,1292.0,,Y,,,,,
202404119764,8,otc alterations permit,2024-04-11T08:57:55.000,3718,026,201,Mission,St,ref 202402286712- 5th floor office space to modify sprinkler head locations to accommodate (n) ceiling and partition layout,issued,2024-04-11T10:06:45.000,30,30,1542.0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,2024-04-11T10:05:35.000,in-house,N,Y,6,Financial District/South Beach,94105,"{'type': 'Point', 'coordinates': [-122.394768198, 37.791033893]}",eas_address_point,1692636164647,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T08:57:55.000,2024-04-11T10:06:45.000,,1863.0,,Y,,,,,
202404119807,8,otc alterations permit,2024-04-11T13:41:13.000,2991,025,163,Casitas,Av,re-roofing: remove and replace roofing material / existing roofing material (in-kind),complete,2024-05-31T09:44:05.000,,,21900.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-04-11T13:41:13.000,website,N,Y,7,West of Twin Peaks,94127,"{'type': 'Point', 'coordinates': [-122.459017959, 37.73751538]}",eas_address_point,1692682149155,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T13:41:13.000,2024-04-11T13:41:42.000,2024-05-31T09:44:05.000,21900.0,,,,,,,
202402226347,3,additions alterations or repairs,2024-04-11T14:11:39.000,2384,026B,2406,42nd,Av,"add kitchen (sink, range, fridge) to ground floor and add new entry door in front.convert new unit to adu.",filed,2024-04-11T14:11:38.000,2,2,7500.0,1 family dwelling,1.0,1 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2025-01-14T09:46:27.000,in-house,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.500054634, 37.741764483]}",eas_address_point,1688854133717,2025-02-07T23:55:01.000,2025-02-08T03:30:01.304,2024-04-11T14:11:38.000,,,,,,,,,,
202404119825,8,otc alterations permit,2024-04-11T15:18:18.000,2335A,014,2279,14th,Av,re-roofing: remove and replace roofing material / existing roofing material (in-kind),complete,2024-07-29T12:20:10.000,,,37900.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-04-11T15:18:20.000,website,N,Y,7,West of Twin Peaks,94116,"{'type': 'Point', 'coordinates': [-122.470708536, 37.745556947]}",eas_address_point,1692700131671,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T15:18:19.000,2024-04-11T15:19:03.000,2024-07-29T12:20:10.000,37900.0,,,,,,,
202404119831,8,otc alterations permit,2024-04-11T16:04:15.000,1065,019,677,Spruce,St,structural repair at the front main staircase due to significant dry rot.,complete,2024-05-24T11:19:51.000,2,2,5000.0,apartments,4.0,apartments,4.0,2,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-04-26T10:35:30.000,in-house,N,Y,2,Presidio Heights,94118,"{'type': 'Point', 'coordinates': [-122.453602396, 37.782383873]}",eas_address_point,1693017413512,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T16:04:16.000,2024-04-19T00:00:00.000,2024-05-24T11:19:51.000,9000.0,0,,,,,,
202404119832,8,otc alterations permit,2024-04-11T20:48:52.000,2317,016F,2124,Santiago,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),complete,2025-01-28T11:13:36.000,,,9700.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-04-11T20:48:53.000,website,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.490302052, 37.74452755]}",eas_address_point,1692707130845,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-04-11T20:48:52.000,2024-04-11T20:50:38.000,2025-01-28T11:13:36.000,9700.0,,,,,,,
